Time (h);Site;Aeration;CO2-C (µmol[12C+13C] g-1);Glucose-C (µmol[12C+13C] g-1);WEC (µmol[12C+13C] g-1);K2SO4 (µmol[12C+13C] g-1);C-MB (µmol[12C+13C] g-1)
0;Plešné;Oxic;0.67;77.2;49.12;28.6;188.1
0;Plešné;Oxic;0.65;74.4;38.11;18.1;188.9
0;Plešné;Oxic;0.66;73;38.25;17.6;191.5
0;Plešné;Oxic;0.67;73;39.32;17.2;192.2
12;Plešné;Oxic;21.64;18.91;NA;NA;NA
12;Plešné;Oxic;22.03;16.81;NA;NA;NA
12;Plešné;Oxic;23.6;12.08;NA;NA;NA
12;Plešné;Oxic;23.42;9.98;NA;NA;NA
24;Plešné;Oxic;36.45;0;47.95;29.83;195.6
24;Plešné;Oxic;38.73;0;41.42;31.33;219.1
24;Plešné;Oxic;36.6;1.05;37.55;29.92;243.2
24;Plešné;Oxic;36;0;37.11;23.9;236.4
48;Plešné;Oxic;51.03;0.24;46.97;22.67;206.2
48;Plešné;Oxic;52.9;0;33.08;16.61;245.5
48;Plešné;Oxic;51.51;0;34.62;18.4;252.3
48;Plešné;Oxic;50.22;0.71;37.44;18.04;237.3
72;Plešné;Oxic;60.38;0;41.66;16.3;214
72;Plešné;Oxic;65.86;0;36.76;14.81;229.4
72;Plešné;Oxic;62.6;0;34.29;14.38;237.4
72;Plešné;Oxic;61.44;0;36.88;15.87;226.7
0;Čertovo;Oxic;0.54;66.02;40.4;20;129.6
0;Čertovo;Oxic;0.52;62.72;39.5;16.2;138.8
0;Čertovo;Oxic;0.53;65.89;37.5;16.6;144.2
0;Čertovo;Oxic;0.54;68.91;29.3;15.8;144.2
12;Čertovo;Oxic;11.07;29.71;NA;NA;NA
12;Čertovo;Oxic;10.61;27.65;NA;NA;NA
12;Čertovo;Oxic;10.43;31.36;NA;NA;NA
12;Čertovo;Oxic;10.09;33.42;NA;NA;NA
24;Čertovo;Oxic;19.76;4.54;42.2;21.7;170.1
24;Čertovo;Oxic;22.4;7.43;38.6;20.5;161.4
24;Čertovo;Oxic;21.85;3.71;37.6;22;162.7
24;Čertovo;Oxic;21.27;6.19;36.9;25.9;151.9
48;Čertovo;Oxic;35.89;0;43.2;19.8;197.6
48;Čertovo;Oxic;40.83;0;35.4;16;195.5
48;Čertovo;Oxic;39.41;0;35.4;15.8;211.6
48;Čertovo;Oxic;39.11;0.83;34.9;15.8;206.2
72;Čertovo;Oxic;46.42;0;34.2;15.9;200.6
72;Čertovo;Oxic;47.05;0;43.8;16.1;184.7
72;Čertovo;Oxic;43.78;0;37.8;15.9;190.1
72;Čertovo;Oxic;44.82;0;36.5;15.9;181.1
0;Plešné;Anoxic;0.25;80.19;139.5;56.3;137.7
0;Plešné;Anoxic;0.25;79.44;117.9;53.05;152.5
0;Plešné;Anoxic;0.25;78.31;119.1;54.07;147.4
0;Plešné;Anoxic;0.25;82.82;114.3;53.4;149.6
12;Plešné;Anoxic;2.02;71.55;NA;NA;NA
12;Plešné;Anoxic;1.38;81.13;NA;NA;NA
12;Plešné;Anoxic;2.56;72.68;NA;NA;NA
12;Plešné;Anoxic;1.42;80.57;NA;NA;NA
24;Plešné;Anoxic;2.83;75.5;291.6;131;159.5
24;Plešné;Anoxic;2.18;83.38;272.6;126.5;171.6
24;Plešné;Anoxic;2.33;77.75;274.6;128.6;179.5
24;Plešné;Anoxic;2.53;81.69;273.4;122.8;147.6
48;Plešné;Anoxic;4.44;80;302.9;118.5;349.1
48;Plešné;Anoxic;3.95;71.55;282.1;135.8;158.1
48;Plešné;Anoxic;3.95;72.11;281.8;125.9;176.1
48;Plešné;Anoxic;4.19;73.24;272.1;125.2;134.3
216;Plešné;Anoxic;10.92;44.74;169.5;137.7;82.8
216;Plešné;Anoxic;10.13;46.42;168.4;147.8;75.1
216;Plešné;Anoxic;10.18;52.02;167.2;155.1;111.8
216;Plešné;Anoxic;10.92;48.1;170.2;158.1;123.9
0;Čertovo;Anoxic;0.2;66.4;145.2;28.8;120.82
0;Čertovo;Anoxic;0.2;65.07;151;23.9;122.65
0;Čertovo;Anoxic;0.2;68.17;150.6;23.8;117.92
0;Čertovo;Anoxic;0.2;62.86;146.6;24.7;116.64
12;Čertovo;Anoxic;1.79;62.42;NA;NA;NA
12;Čertovo;Anoxic;1.68;63.74;NA;NA;NA
12;Čertovo;Anoxic;1.67;62.86;NA;NA;NA
12;Čertovo;Anoxic;1.65;67.73;NA;NA;NA
24;Čertovo;Anoxic;4.33;60.65;345.1;107.7;54.8
24;Čertovo;Anoxic;3.36;60.2;344.9;114.1;58.9
24;Čertovo;Anoxic;2.92;62.86;366;110.3;73.3
24;Čertovo;Anoxic;2.82;57.55;369.1;110.3;86.2
48;Čertovo;Anoxic;4.84;50.46;337.4;117.9;77.4
48;Čertovo;Anoxic;4.52;56.66;353.5;110.3;111.9
48;Čertovo;Anoxic;4.9;52.23;359.6;102.2;130.9
48;Čertovo;Anoxic;5.61;54.89;360.1;105;124.1
216;Čertovo;Anoxic;13.7;27.69;128.1;99.2;134.6
216;Čertovo;Anoxic;13.06;27.1;134.9;89.5;169.5
216;Čertovo;Anoxic;12.69;26.81;NA;85.5;183
216;Čertovo;Anoxic;12.77;26.81;120.7;NA;NA
