Time (h);Site;O2 in the headspace (ppmv)
0;Plešné;210101
0;Plešné;210127
0;Plešné;206910
0;Plešné;209323
12;Plešné;176829
12;Plešné;177634
12;Plešné;177968
12;Plešné;174167
24;Plešné;173011
24;Plešné;165204
24;Plešné;170100
24;Plešné;173798
48;Plešné;154822
48;Plešné;150179
48;Plešné;152275
48;Plešné;152884
72;Plešné;145084
72;Plešné;144454
72;Plešné;144725
72;Plešné;145060
0;Plešné;210101
0;Plešné;210127
0;Plešné;206910
0;Plešné;209323
12;Plešné;190848
12;Plešné;193462
12;Plešné;183715
12;Plešné;187689
24;Plešné;198450
24;Plešné;193081
24;Plešné;197514
24;Plešné;197376
48;Plešné;185554
48;Plešné;179724
48;Plešné;179587
48;Plešné;183877
72;Plešné;176610
72;Plešné;173580
72;Plešné;174303
72;Plešné;173248
0;Čertovo;210101
0;Čertovo;210127
0;Čertovo;206910
0;Čertovo;209323
12;Čertovo;185566
12;Čertovo;188063
12;Čertovo;183576
12;Čertovo;179718
24;Čertovo;181601
24;Čertovo;179887
24;Čertovo;185696
24;Čertovo;180766
48;Čertovo;150990
48;Čertovo;156577
48;Čertovo;158442
48;Čertovo;158724
72;Čertovo;153846
72;Čertovo;148684
72;Čertovo;144103
72;Čertovo;147942
0;Čertovo;210101
0;Čertovo;210127
0;Čertovo;206910
0;Čertovo;209323
12;Čertovo;164221
12;Čertovo;193703
12;Čertovo;187994
12;Čertovo;190301
24;Čertovo;198716
24;Čertovo;195151
24;Čertovo;198966
24;Čertovo;201339
48;Čertovo;190075
48;Čertovo;188209
48;Čertovo;190984
48;Čertovo;192332
72;Čertovo;185553
72;Čertovo;189595
72;Čertovo;184727
72;Čertovo;185775
