Code;Aeration;Time (h);Site;C-MB (µmol(12+13));Total resp (12C+13C umol/g)
C1;Oxic;0;Čertovo;129.58;0.52
C2;Oxic;0;Čertovo;138.77;0.53
C3;Oxic;0;Čertovo;144.21;0.54
C4;Oxic;0;Čertovo;144.21;0.54
C5;Oxic;12;Čertovo;NA;11.07
C6;Oxic;12;Čertovo;NA;10.61
C7;Oxic;12;Čertovo;NA;10.43
C8;Oxic;12;Čertovo;NA;10.09
C9;Oxic;24;Čertovo;151.88;19.76
C10;Oxic;24;Čertovo;161.43;21.27
C11;Oxic;24;Čertovo;162.72;21.85
C12;Oxic;24;Čertovo;170.12;22.4
C13;Oxic;48;Čertovo;195.46;35.89
C14;Oxic;48;Čertovo;197.6;39.11
C15;Oxic;48;Čertovo;206.19;39.41
C16;Oxic;48;Čertovo;211.61;40.83
C17;Oxic;72;Čertovo;181.07;43.78
C18;Oxic;72;Čertovo;184.68;44.82
C19;Oxic;72;Čertovo;190.13;46.42
C20;Oxic;72;Čertovo;200.62;47.05
NC1;Anoxic;0;Čertovo;116.64;0.2
NC2;Anoxic;0;Čertovo;117.92;0.2
NC3;Anoxic;0;Čertovo;120.82;0.2
NC4;Anoxic;0;Čertovo;122.65;0.2
NC5;Anoxic;12;Čertovo;NA;1.79
NC6;Anoxic;12;Čertovo;NA;1.68
NC7;Anoxic;12;Čertovo;NA;1.67
NC8;Anoxic;12;Čertovo;NA;1.65
NC9;Anoxic;24;Čertovo;54.8;2.82
NC10;Anoxic;24;Čertovo;58.94;2.92
NC11;Anoxic;24;Čertovo;73.25;3.36
NC12;Anoxic;24;Čertovo;86.25;4.33
NC13;Anoxic;48;Čertovo;77.4;4.52
NC14;Anoxic;48;Čertovo;111.86;4.84
NC15;Anoxic;48;Čertovo;124.1;4.9
NC16;Anoxic;48;Čertovo;130.88;5.61
NC17;Anoxic;216;Čertovo;134.64;12.69
NC18;Anoxic;216;Čertovo;162.39;12.77
NC19;Anoxic;216;Čertovo;169.48;13.06
NC20;Anoxic;216;Čertovo;183.04;13.7
P1;Oxic;0;Plešné;188.13;0.65
P2;Oxic;0;Plešné;188.91;0.66
P3;Oxic;0;Plešné;191.47;0.67
P4;Oxic;0;Plešné;192.15;0.67
P5;Oxic;12;Plešné;NA;21.64
P6;Oxic;12;Plešné;NA;22.03
P7;Oxic;12;Plešné;NA;23.6
P8;Oxic;12;Plešné;NA;23.42
P9;Oxic;24;Plešné;195.59;36.45
P10;Oxic;24;Plešné;219.07;36.6
P11;Oxic;24;Plešné;236.44;38.73
P12;Oxic;24;Plešné;243.24;36
P13;Oxic;48;Plešné;206.21;50.22
P14;Oxic;48;Plešné;237.28;51.03
P15;Oxic;48;Plešné;245.52;51.51
P16;Oxic;48;Plešné;252.32;52.9
P17;Oxic;72;Plešné;213.97;60.38
P18;Oxic;72;Plešné;226.73;61.44
P19;Oxic;72;Plešné;229.35;62.6
P20;Oxic;72;Plešné;237.45;65.86
NP1;Anoxic;0;Plešné;137.68;0.25
NP2;Anoxic;0;Plešné;147.37;0.25
NP3;Anoxic;0;Plešné;149.6;0.25
NP4;Anoxic;0;Plešné;152.55;0.25
NP5;Anoxic;12;Plešné;NA;2.02
NP6;Anoxic;12;Plešné;NA;1.38
NP7;Anoxic;12;Plešné;NA;2.56
NP8;Anoxic;12;Plešné;NA;1.42
NP9;Anoxic;24;Plešné;147.55;2.18
NP10;Anoxic;24;Plešné;159.47;2.33
NP11;Anoxic;24;Plešné;171.62;2.53
NP12;Anoxic;24;Plešné;179.49;2.83
NP13;Anoxic;48;Plešné;134.28;3.95
NP14;Anoxic;48;Plešné;158.12;3.95
NP15;Anoxic;48;Plešné;176.12;4.19
NP16;Anoxic;48;Plešné;183.62;4.44
NP17;Anoxic;216;Plešné;75.13;10.13
NP18;Anoxic;216;Plešné;82.77;10.18
NP19;Anoxic;216;Plešné;111.79;10.92
NP20;Anoxic;216;Plešné;123.93;10.92
